OTU,Domain,Phylum,Class,Order,Family,Genus,Label
BOTU_6459,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6459_Proteobacteria
BOTU_646,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,BOTU_646_Actinoplanes
BOTU_6460,Bacteria,Proteobacteria,Deltaproteobacteria,unidentified,unidentified,unidentified,BOTU_6460_Deltaproteobacteria
BOTU_6461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unidentified,unidentified,BOTU_6461_Rhodospirillales
BOTU_6462,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6462_Proteobacteria
BOTU_6463,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,unidentified,BOTU_6463_Opitutaceae
BOTU_6464,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6464_Proteobacteria
BOTU_6465,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas/Armatimonadetes_gp3,BOTU_6465_Chthonomonas/Armatimonadetes_gp3
BOTU_6466,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,unidentified,BOTU_6466_Chromobacteriaceae
BOTU_6467,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6467_Bacteria
BOTU_6468,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6468_Bacteria
BOTU_6469,Bacteria,Verrucomicrobia,Subdivision3,unidentified,unidentified,Subdivision3_genera_incertae_sedis,BOTU_6469_Subdivision3
BOTU_647,Bacteria,Actinobacteria,Actinobacteria,unidentified,unidentified,unidentified,BOTU_647_Actinobacteria
BOTU_6470,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6470_Proteobacteria
BOTU_6471,Bacteria,Candidatus_Saccharibacteria,unidentified,unidentified,unidentified,Saccharibacteria_genera_incertae_sedis,BOTU_6471_Candidatus_Saccharibacteria
BOTU_6472,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6472_Bacteria
BOTU_6473,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6473_Bacteria
BOTU_6474,Bacteria,Verrucomicrobia,unidentified,unidentified,unidentified,unidentified,BOTU_6474_Verrucomicrobia
BOTU_6475,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,unidentified,BOTU_6475_Haliangiaceae
BOTU_6476,Bacteria,Planctomycetes,unidentified,unidentified,unidentified,unidentified,BOTU_6476_Planctomycetes
BOTU_6477,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gemmataceae,Limnoglobus,BOTU_6477_Limnoglobus
BOTU_6478,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6478_Bacteria
BOTU_6479,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6479_Planctomycetales
BOTU_648,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,unidentified,unidentified,BOTU_648_Gemmatimonadales
BOTU_6480,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6480_Proteobacteria
BOTU_6481,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unidentified,unidentified,BOTU_6481_Myxococcales
BOTU_6482,Bacteria,Acidobacteria,Acidobacteria_Gp12,unidentified,unidentified,Gp12,BOTU_6482_Acidobacteria_Gp12
BOTU_6483,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,unidentified,unidentified,BOTU_6483_Cytophagales
BOTU_6484,Bacteria,Proteobacteria,Alphaproteobacteria,unidentified,unidentified,unidentified,BOTU_6484_Alphaproteobacteria
BOTU_6485,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6485_Bacteria
BOTU_6486,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6486_Bacteria
BOTU_6487,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6487_Bacteria
